HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,660,0.010000,6.600000,0.011000,7.260000
USA,USA-SD-0001-0001,52080,0.000250,13.020000,0.000210,10.936800
USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
USA,USA-VM-0001-0004,659,0.995000,655.705000,0.850000,560.150000
USA,USA-VM-0001-0003,1977,0.497000,982.569000,0.425000,840.225000
Total,-,-,1657.894,-,1418.5718
