HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,1488,0.010000,14.880000,0.011000,16.368000
USA,USA-SD-0001-0001,74251,0.000250,18.562750,0.000210,15.592710
Total,-,-,33.44275,-,31.96071
