HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-DK-0002-0001,44640,0.000250,11.160000,0.000210,9.374400
Total,-,-,11.16,-,9.3744
