HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,2232,0.010000,22.320000,0.011000,24.552000
USA,USA-SD-0001-0001,74400,0.000250,18.600000,0.000210,15.624000
USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
USA,USA-VM-0001-0004,744,0.995000,740.280000,0.850000,632.400000
USA,USA-DK-0002-0001,22320,0.000250,5.580000,0.000210,4.687200
USA,USA-DK-0001-0001,446400,0.000250,111.600000,0.000210,93.744000
Total,-,-,898.38,-,771.0072
