ContractID,HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
YJRW9SSW,-,Total,-,-,1048.746,-,895.9578
YSW35U68,USA,USA-IP-0001-0001,2232,0.010000,22.320000,0.011000,24.552000
YSW35U68,USA,USA-VM-0001-0011,2232,2.000000,4464.000000,1.700000,3794.400000
YSW35U68,USA,USA-SD-0001-0001,22320,0.000250,5.580000,0.000210,4.687200
YSW35U68,USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
YSW35U68,USA,USA-DK-0002-0001,14880,0.000250,3.720000,0.000210,3.124800
YSW35U68,USA,USA-DK-0003-0001,7440,0.000250,1.860000,0.000210,1.562400
YSW35U68,-,Total,-,-,4497.48,-,3828.3264
YU7V9C8W,USA,USA-IP-0001-0001,744,0.010000,7.440000,0.011000,8.184000
YU7V9C8W,USA,USA-SD-0001-0001,29760,0.000250,7.440000,0.000210,6.249600
YU7V9C8W,USA,USA-NW-0001-0001,6,0.150000,0.900000,0.011000,0.066000
YU7V9C8W,USA,USA-VM-0001-0003,744,0.497000,369.768000,0.425000,316.200000
YU7V9C8W,USA,USA-DK-0003-0001,59520,0.000250,14.880000,0.000210,12.499200
YU7V9C8W,-,Total,-,-,400.428,-,343.1988

FoC ContractIDs
7BYHUBXS,USA,USA-DK-0002-0001,44640,0.000250,11.160000,0.000210,9.374400
GQEMTOK7,USA,USA-IP-0001-0001,13173,0.010000,131.730000,0.011000,144.903000
GQEMTOK7,USA,USA-NW-0001-0001,0,0.150000,0.000000,0.011000,0.000000
GQEMTOK7,USA,USA-DK-0003-0001,14880,0.000250,3.720000,0.000210,3.124800
GQEMTOK7,USA,USA-SD-0001-0001,2313302,0.000250,578.325500,0.000210,485.793420
GQEMTOK7,USA,USA-VM-0001-0001,8960,0.125000,1120.000000,0.106000,949.760000
GQEMTOK7,USA,USA-NW-0002-0001,1488,0.036400,54.163200,0.023300,34.670400
GQEMTOK7,USA,USA-DK-0002-0001,372000,0.000250,93.000000,0.000210,78.120000
GQEMTOK7,USA,USA-DK-0001-0001,260400,0.000250,65.100000,0.000210,54.684000
HKOUIPKT,USA,USA-SD-0001-0001,29760,0.000250,7.440000,0.000210,6.249600
HS1MWOYB,USA,USA-DK-0002-0001,29760,0.000250,7.440000,0.000210,6.249600
JM557VNM,USA,USA-IP-0001-0001,3720,0.010000,37.200000,0.011000,40.920000
JM557VNM,USA,USA-SD-0001-0001,238080,0.000250,59.520000,0.000210,49.996800
JM557VNM,USA,USA-DK-0001-0001,96720,0.000250,24.180000,0.000210,20.311200
N56L2IBZ,USA,USA-IP-0001-0001,1488,0.010000,14.880000,0.011000,16.368000
N56L2IBZ,USA,USA-SD-0001-0001,74251,0.000250,18.562750,0.000210,15.592710
S4DPRLAX,USA,USA-IP-0001-0001,828,0.010000,8.280000,0.011000,9.108000
S4DPRLAX,USA,USA-SD-0001-0001,12530,0.000250,3.132500,0.000210,2.631300
S4DPRLAX,USA,USA-VM-0001-0002,219,0.249000,54.531000,0.213000,46.647000
S4DPRLAX,USA,USA-NW-0001-0001,3,0.150000,0.450000,0.011000,0.033000
S4DPRLAX,USA,USA-VM-0001-0004,203,0.995000,201.985000,0.850000,172.550000
S4DPRLAX,USA,USA-DK-0001-0001,46500,0.000250,11.625000,0.000210,9.765000
S4DPRLAX,USA,USA-DK-0003-0001,2010,0.000250,0.502500,0.000210,0.422100
SG8GQBXU,USA,USA-IP-0001-0001,4464,0.010000,44.640000,0.011000,49.104000
SG8GQBXU,USA,USA-NW-0001-0001,17,0.150000,2.550000,0.011000,0.187000
SG8GQBXU,USA,USA-DK-0003-0001,29760,0.000250,7.440000,0.000210,6.249600
SG8GQBXU,USA,USA-SD-0001-0001,327360,0.000250,81.840000,0.000210,68.745600
