HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,1488,0.010000,14.880000,0.011000,16.368000
USA,USA-SD-0001-0001,59520,0.000250,14.880000,0.000210,12.499200
Total,-,-,29.76,-,28.8672
