HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,7440,0.010000,74.400000,0.011000,81.840000
USA,USA-SD-0001-0001,602720,0.000250,150.680000,0.000210,126.571200
USA,USA-VM-0001-0001,3,0.125000,0.375000,0.106000,0.318000
USA,USA-DK-0002-0001,44640,0.000250,11.160000,0.000210,9.374400
USA,USA-NW-0002-0001,1,0.036400,0.036400,0.023300,0.023300
USA,USA-DK-0001-0001,611080,0.000250,152.770000,0.000210,128.326800
Total,-,-,389.4214,-,346.4537
