HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,4464,0.010000,44.640000,0.011000,49.104000
USA,USA-NW-0001-0001,17,0.150000,2.550000,0.011000,0.187000
USA,USA-DK-0003-0001,29760,0.000250,7.440000,0.000210,6.249600
USA,USA-SD-0001-0001,327360,0.000250,81.840000,0.000210,68.745600
USA,USA-VM-0001-0002,1488,0.249000,370.512000,0.213000,316.944000
USA,USA-VM-0001-0001,6696,0.125000,837.000000,0.106000,709.776000
USA,USA-NW-0002-0001,744,0.036400,27.081600,0.023300,17.335200
USA,USA-DK-0001-0001,96720,0.000250,24.180000,0.000210,20.311200
Total,-,-,1395.2436,-,1188.6526
