HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-IP-0001-0001,2976,0.010000,29.760000,0.011000,32.736000
USA,USA-NW-0001-0001,2743,0.150000,411.450000,0.011000,30.173000
USA,USA-DK-0003-0001,29760,0.000250,7.440000,0.000210,6.249600
USA,USA-SD-0001-0001,148800,0.000250,37.200000,0.000210,31.248000
USA,USA-VM-0001-0002,744,0.249000,185.256000,0.213000,158.472000
USA,USA-VM-0001-0004,1488,0.995000,1480.560000,0.850000,1264.800000
USA,USA-DK-0001-0001,6829920,0.000250,1707.480000,0.000210,1434.283200
USA,USA-VM-0001-0003,1488,0.497000,739.536000,0.425000,632.400000
Total,-,-,4598.682,-,3590.3618
