HostRegion,Product ID,Unit,USD List Price(per unit),USD List Price,USD Transfer Price(per unit),USD Transfer Price
USA,USA-SD-0001-0001,59520,0.000250,14.880000,0.000210,12.499200
Total,-,-,14.88,-,12.4992
