HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-IP-0001-0001,3405,0.008000,27.240000,0.007100,24.175500
UKI,UKI-SD-0001-0001,190680,0.000160,30.508800,0.000130,24.788400
UKI,UKI-DK-0001-0001,149820,0.000160,23.971200,0.000130,19.476600
Total,-,-,81.72,-,68.4405
