HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-SD-0001-0001,410,0.000160,0.065600,0.000130,0.053300
Total,-,-,0.0656,-,0.0533
