HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-SD-0001-0001,19400,0.000160,3.104000,0.000130,2.522000
UKI,UKI-DK-0001-0001,1680,0.000160,0.268800,0.000130,0.218400
Total,-,-,3.3728,-,2.7404
