HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-VM-0001-0001,1488,0.080000,119.040000,0.067900,101.035200
UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
UKI,UKI-VM-0001-0002,1488,0.160000,238.080000,0.136500,203.112000
UKI,UKI-SD-0001-0001,74102,0.000160,11.856320,0.000130,9.633260
UKI,UKI-DK-0001-0001,3720000,0.000160,595.200000,0.000130,483.600000
Total,-,-,970.12832,-,802.66286
