HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
UKI,UKI-DK-0003-0001,59520,0.000160,9.523200,0.000130,7.737600
UKI,UKI-DK-0002-0001,1520,0.000160,0.243200,0.000130,0.197600
UKI,UKI-SD-0001-0001,402350,0.000160,64.376000,0.000130,52.305500
UKI,UKI-DK-0001-0001,930,0.000160,0.148800,0.000130,0.120900
UKI,UKI-VM-0001-0001,885,0.080000,70.800000,0.067900,60.091500
UKI,UKI-VM-0001-0002,55,0.160000,8.800000,0.136500,7.507500
UKI,UKI-IP-0001-0001,1092,0.008000,8.736000,0.007100,7.753200
Total,-,-,162.6272,-,135.7138
