ContractID,HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UQ7L60OC,DEU,DEU-DK-0003-0001,89280,0.000190,16.963200,0.000130,11.606400
UQ7L60OC,DEU,DEU-NW-0001-0001,2820,0.010200,28.764000,0.007100,20.022000
UQ7L60OC,DEU,DEU-VM-0001-0004,1488,0.787300,1171.502400,0.544900,810.811200
UQ7L60OC,DEU,DEU-VM-0001-0003,1488,0.393600,585.676800,0.272400,405.331200
UQ7L60OC,DEU,DEU-SD-0001-0001,119040,0.000190,22.617600,0.000130,15.475200
UQ7L60OC,-,Total,-,-,3139.0764,-,2162.568
VYC5PZNQ,UKI,UKI-NW-0001-0001,6,0.121000,0.726000,0.007100,0.042600
VYC5PZNQ,UKI,UKI-VM-0001-0003,744,0.320000,238.080000,0.272400,202.665600
VYC5PZNQ,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
VYC5PZNQ,UKI,UKI-SD-0001-0001,7440,0.000160,1.190400,0.000130,0.967200
VYC5PZNQ,UKI,UKI-DK-0001-0001,29760,0.000160,4.761600,0.000130,3.868800
VYC5PZNQ,-,Total,-,-,250.71,-,212.8266
W5L623R4,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
W5L623R4,UKI,UKI-VM-0001-0003,3,0.320000,0.960000,0.272400,0.817200
W5L623R4,UKI,UKI-SD-0001-0001,67090,0.000160,10.734400,0.000130,8.721700
W5L623R4,UKI,UKI-DK-0001-0001,231460,0.000160,37.033600,0.000130,30.089800
W5L623R4,UKI,UKI-VM-0001-0001,539,0.080000,43.120000,0.067900,36.598100
W5L623R4,UKI,UKI-VM-0001-0002,3,0.160000,0.480000,0.136500,0.409500
W5L623R4,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
W5L623R4,-,Total,-,-,98.28,-,81.9187
WIDEX91F,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
WIDEX91F,UKI,UKI-DK-0003-0001,59520,0.000160,9.523200,0.000130,7.737600
WIDEX91F,UKI,UKI-DK-0002-0001,1520,0.000160,0.243200,0.000130,0.197600
WIDEX91F,UKI,UKI-SD-0001-0001,402350,0.000160,64.376000,0.000130,52.305500
WIDEX91F,UKI,UKI-DK-0001-0001,930,0.000160,0.148800,0.000130,0.120900
WIDEX91F,UKI,UKI-VM-0001-0001,885,0.080000,70.800000,0.067900,60.091500
WIDEX91F,UKI,UKI-VM-0001-0002,55,0.160000,8.800000,0.136500,7.507500
WIDEX91F,UKI,UKI-IP-0001-0001,1092,0.008000,8.736000,0.007100,7.753200
WIDEX91F,-,Total,-,-,162.6272,-,135.7138
XNFP8XDJ,UKI,UKI-NW-0001-0001,29,0.121000,3.509000,0.007100,0.205900
XNFP8XDJ,UKI,UKI-DK-0002-0001,29760,0.000160,4.761600,0.000130,3.868800
XNFP8XDJ,UKI,UKI-SD-0001-0001,74251,0.000160,11.880160,0.000130,9.652630
XNFP8XDJ,UKI,UKI-DK-0001-0001,297600,0.000160,47.616000,0.000130,38.688000
XNFP8XDJ,UKI,UKI-VM-0001-0004,1488,0.640000,952.320000,0.544900,810.811200
XNFP8XDJ,UKI,UKI-IP-0001-0001,2976,0.008000,23.808000,0.007100,21.129600
XNFP8XDJ,-,Total,-,-,1043.89476,-,884.35613
Y0GDD8KP,UKI,UKI-IP-0001-0001,633,0.008000,5.064000,0.007100,4.494300
Y0GDD8KP,UKI,UKI-SD-0001-0001,6330,0.000160,1.012800,0.000130,0.822900
Y0GDD8KP,-,Total,-,-,6.0768,-,5.3172
Y9AI830P,UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
Y9AI830P,UKI,UKI-DK-0003-0001,29920,0.000160,4.787200,0.000130,3.889600
Y9AI830P,UKI,UKI-VM-0001-0011,741,1.280000,948.480000,1.089700,807.467700
Y9AI830P,UKI,UKI-DK-0002-0001,29760,0.000160,4.761600,0.000130,3.868800
Y9AI830P,UKI,UKI-IP-0001-0001,744,0.008000,5.952000,0.007100,5.282400
Y9AI830P,UKI,UKI-SD-0001-0001,29760,0.000160,4.761600,0.000130,3.868800
Y9AI830P,UKI,UKI-DK-0001-0001,148800,0.000160,23.808000,0.000130,19.344000
Y9AI830P,-,Total,-,-,992.5504,-,843.7213
YNSEHOZH,UKI,UKI-NW-0001-0001,18,0.121000,2.178000,0.007100,0.127800
YNSEHOZH,UKI,UKI-IP-0001-0001,1488,0.008000,11.904000,0.007100,10.564800
YNSEHOZH,UKI,UKI-SD-0001-0001,29760,0.000160,4.761600,0.000130,3.868800
