HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-VM-0001-0001,1488,0.080000,119.040000,0.067900,101.035200
UKI,UKI-NW-0001-0001,0,0.121000,0.000000,0.007100,0.000000
UKI,UKI-DK-0003-0001,69120,0.000160,11.059200,0.000130,8.985600
UKI,UKI-VM-0001-0002,145,0.160000,23.200000,0.136500,19.792500
UKI,UKI-IP-0001-0001,2380,0.008000,19.040000,0.007100,16.898000
UKI,UKI-SD-0001-0001,71280,0.000160,11.404800,0.000130,9.266400
Total,-,-,183.744,-,155.9777
