HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,GBP Transfer Price(per unit),GBP Transfer Price
DEU,DEU-DK-0001-0001,104160,0.000190,19.790400,0.000130,13.540800
DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.007100,5.282400
DEU,DEU-SD-0001-0001,119040,0.000190,22.617600,0.000130,15.475200
DEU,DEU-DK-0002-0001,29760,0.000190,5.654400,0.000130,3.868800
Total,-,-,55.5024,-,38.1672
