HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,GBP Transfer Price(per unit),GBP Transfer Price
UKI,UKI-IP-0001-0001,537,0.008000,4.296000,0.007100,3.812700
UKI,UKI-SD-0001-0001,5360,0.000160,0.857600,0.000130,0.696800
UKI,UKI-DK-0001-0001,26800,0.000160,4.288000,0.000130,3.484000
Total,-,-,9.4416,-,7.9935
