Dom0,FW,SLB,Economy,Standard,Advanced,High-Perfomance,Total(Eco. Equi),Total
jp-01-1-ps0000-04-13,1,1,1,0,,,4,3
jp-01-1-ps0000-04-11,0,,5,,,,5,5
jp-01-1-ps0000-04-14,2,1,2,0,,,6,5
