HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-VM-0001-0004,1488,1.226100,1824.436800,1.043600,1552.876800
SIN,SIN-IP-0001-0001,744,0.015900,11.829600,0.013500,10.044000
SIN,SIN-VM-0001-0003,744,0.613100,456.146400,0.521800,388.219200
SIN,SIN-DK-0001-0001,334800,0.000300,100.440000,0.000250,83.700000
SIN,SIN-DK-0003-0001,29760,0.000300,8.928000,0.000250,7.440000
SIN,SIN-NW-0001-0001,3,0.015900,0.047700,0.013500,0.040500
SIN,SIN-SD-0001-0001,89280,0.000300,26.784000,0.000250,22.320000
Total,-,-,2428.6125,-,2064.6405
