HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-NW-0001-0001,52,0.015900,0.826800,0.013500,0.702000
SIN,SIN-IP-0001-0001,744,0.015900,11.829600,0.013500,10.044000
SIN,SIN-DK-0001-0001,44640,0.000300,13.392000,0.000250,11.160000
SIN,SIN-SD-0001-0001,29760,0.000300,8.928000,0.000250,7.440000
SIN,SIN-VM-0001-0001,744,0.153300,114.055200,0.130100,96.794400
Total,-,-,149.0316,-,126.1404
