HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-DK-0002-0001,74400,0.000300,22.320000,0.000250,18.600000
SIN,SIN-IP-0001-0001,7440,0.015900,118.296000,0.013500,100.440000
SIN,SIN-DK-0001-0001,483600,0.000300,145.080000,0.000250,120.900000
SIN,SIN-DK-0003-0001,104160,0.000300,31.248000,0.000250,26.040000
SIN,SIN-SD-0001-0001,461280,0.000300,138.384000,0.000250,115.320000
Total,-,-,455.328,-,381.3
