HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-IP-0001-0001,489,0.015900,7.775100,0.013500,6.601500
SIN,SIN-DK-0001-0001,200,0.000300,0.060000,0.000250,0.050000
SIN,SIN-SD-0001-0001,120,0.000300,0.036000,0.000250,0.030000
SIN,SIN-VM-0001-0001,1,0.153300,0.153300,0.130100,0.130100
Total,-,-,8.0244,-,6.8116
