HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-VM-0001-0002,744,0.306500,228.036000,0.261500,194.556000
SIN,SIN-SD-0001-0001,29760,0.000300,8.928000,0.000250,7.440000
Total,-,-,236.964,-,201.996
