HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-IP-0001-0001,744,0.015900,11.829600,0.013500,10.044000
SIN,SIN-DK-0001-0001,1138320,0.000300,341.496000,0.000250,284.580000
SIN,SIN-SD-0001-0001,141360,0.000300,42.408000,0.000250,35.340000
Total,-,-,395.7336,-,329.964
