ContractID,HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
WH0V5VHU,SIN,SIN-VM-0001-0004,1783,1.226100,2186.136300,1.043600,1860.738800
WH0V5VHU,SIN,SIN-NW-0001-0001,33,0.015900,0.524700,0.013500,0.445500
WH0V5VHU,SIN,SIN-IP-0001-0001,1576,0.015900,25.058400,0.013500,21.276000
WH0V5VHU,SIN,SIN-DK-0001-0001,3982000,0.000300,1194.600000,0.000250,995.500000
WH0V5VHU,SIN,SIN-SD-0001-0001,71760,0.000300,21.528000,0.000250,17.940000
ZETMNME5,SIN,SIN-IP-0001-0001,2112,0.015900,33.580800,0.013500,28.512000
ZETMNME5,SIN,SIN-VM-0001-0003,690,0.613100,423.039000,0.521800,360.042000
ZETMNME5,SIN,SIN-DK-0001-0001,741880,0.000300,222.564000,0.000250,185.470000
ZETMNME5,SIN,SIN-NW-0002-0001,178,0.033700,5.998600,0.028600,5.090800
ZETMNME5,SIN,SIN-NW-0001-0001,197,0.015900,3.132300,0.013500,2.659500
ZETMNME5,SIN,SIN-SD-0001-0001,73700,0.000300,22.110000,0.000250,18.425000
ZETMNME5,SIN,SIN-VM-0001-0001,184,0.153300,28.207200,0.130100,23.938400
