HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-VM-0001-0004,1317,1.226100,1614.773700,1.043600,1374.421200
SIN,SIN-IP-0001-0001,2232,0.015900,35.488800,0.013500,30.132000
SIN,SIN-VM-0001-0003,1146,0.613100,702.612600,0.521800,597.982800
SIN,SIN-DK-0001-0001,1587750,0.000300,476.325000,0.000250,396.937500
SIN,SIN-NW-0001-0001,96,0.015900,1.526400,0.013500,1.296000
SIN,SIN-SD-0001-0001,119040,0.000300,35.712000,0.000250,29.760000
Total,-,-,2866.4385,-,2430.5295
