HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-VM-0001-0002,744,0.306500,228.036000,0.261500,194.556000
SIN,SIN-IP-0001-0001,1488,0.015900,23.659200,0.013500,20.088000
SIN,SIN-DK-0001-0001,372000,0.000300,111.600000,0.000250,93.000000
SIN,SIN-VM-0001-0003,744,0.613100,456.146400,0.521800,388.219200
SIN,SIN-DK-0003-0001,59520,0.000300,17.856000,0.000250,14.880000
SIN,SIN-NW-0001-0001,0,0.015900,0.000000,0.013500,0.000000
SIN,SIN-SD-0001-0001,59520,0.000300,17.856000,0.000250,14.880000
Total,-,-,855.1536,-,725.6232
