HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-IP-0001-0001,1488,0.015900,23.659200,0.013500,20.088000
SIN,SIN-DK-0001-0001,148800,0.000300,44.640000,0.000250,37.200000
SIN,SIN-SD-0001-0001,44640,0.000300,13.392000,0.000250,11.160000
SIN,SIN-VM-0001-0001,744,0.153300,114.055200,0.130100,96.794400
Total,-,-,195.7464,-,165.2424
