HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,SGD Transfer Price(per unit),SGD Transfer Price
SIN,SIN-DK-0002-0001,3720,0.000300,1.116000,0.000250,0.930000
Total,-,-,1.116,-,0.93
