Dom0,FW,SLB,Economy,Standard,Advanced,High-Perfomance,Total(Eco. Equi),Total
jp-01-1-ps0000-04-13,1,2,2,0,,,7,5
jp-01-1-ps0000-04-12,1,0,3,,,,4,4
jp-01-1-ps0000-04-11,1,2,2,0,,,7,5
jp-01-1-ps0000-04-14,1,2,1,0,,,6,4
