HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,213,0.973000,207.249000,0.167700,35.720100
DEU,DEU-IP-0001-0001,250,0.010000,2.500000,0.008700,2.175000
DEU,DEU-SD-0001-0001,18180,0.000190,3.454200,0.000160,2.908800
DEU,DEU-DK-0003-0001,2080,0.000190,0.395200,0.000160,0.332800
Total,-,-,213.5984,-,41.1367
