HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-DK-0001-0001,471000,0.000190,89.490000,0.000160,75.360000
DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
DEU,DEU-IP-0001-0001,1283,0.010000,12.830000,0.008700,11.162100
DEU,DEU-VM-0001-0001,323,0.098200,31.718600,0.083500,26.970500
DEU,DEU-SD-0001-0001,47910,0.000190,9.102900,0.000160,7.665600
Total,-,-,143.1415,-,121.1582
