HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-IP-0001-0001,385,0.010000,3.850000,0.008700,3.349500
DEU,DEU-SD-0001-0001,1270,0.000190,0.241300,0.000160,0.203200
DEU,DEU-VM-0001-0001,56,0.098200,5.499200,0.083500,4.676000
Total,-,-,9.5905,-,8.2287
