HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-DK-0001-0001,7440,0.000190,1.413600,0.000160,1.190400
DEU,DEU-SD-0001-0001,59520,0.000190,11.308800,0.000160,9.523200
DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.083500,62.124000
Total,-,-,85.7832,-,72.8376
