ContractID,HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
UMILIBMS,DEU,DEU-DK-0001-0001,1488000,0.000190,282.720000,0.000160,238.080000
UMILIBMS,DEU,DEU-IP-0001-0001,1488,0.010000,14.880000,0.008700,12.945600
UMILIBMS,DEU,DEU-SD-0001-0001,59520,0.000190,11.308800,0.000160,9.523200
UU62ICIP,DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
UU62ICIP,DEU,DEU-DK-0001-0001,74400,0.000190,14.136000,0.000160,11.904000
UU62ICIP,DEU,DEU-IP-0001-0001,744,0.010000,7.440000,0.008700,6.472800
UU62ICIP,DEU,DEU-SD-0001-0001,22320,0.000190,4.240800,0.000160,3.571200
UU62ICIP,DEU,DEU-VM-0001-0001,2232,0.098200,219.182400,0.083500,186.372000
UU62ICIP,DEU,DEU-NW-0002-0001,744,0.021500,15.996000,0.018300,13.615200
UU62ICIP,DEU,DEU-DK-0003-0001,7440,0.000190,1.413600,0.000160,1.190400
UU62ICIP,DEU,DEU-DK-0002-0001,7440,0.000190,1.413600,0.000160,1.190400
XLRQSPS5,DEU,DEU-DK-0003-0002,14880,0.000190,2.827200,0.000160,2.380800
XLRQSPS5,DEU,DEU-DK-0001-0001,31580,0.000190,6.000200,0.000160,5.052800
XLRQSPS5,DEU,DEU-IP-0001-0001,1875,0.010000,18.750000,0.008700,16.312500
XLRQSPS5,DEU,DEU-DK-0003-0001,7280,0.000190,1.383200,0.000160,1.164800
XLRQSPS5,DEU,DEU-VM-0001-0001,183,0.098200,17.970600,0.083500,15.280500
XLRQSPS5,DEU,DEU-DK-0002-0001,29760,0.000190,5.654400,0.000160,4.761600
XLRQSPS5,DEU,DEU-NW-0001-0001,0,0.010200,0.000000,0.008700,0.000000
XLRQSPS5,DEU,DEU-SD-0001-0001,113800,0.000190,21.622000,0.000160,18.208000
