HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,EUR Transfer Price(per unit),EUR Transfer Price
UKI,UKI-SD-0001-0001,80,0.000160,0.012800,0.000160,0.012800
Total,-,-,0.0128,-,0.0128
