HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-DK-0001-0001,74400,0.000190,14.136000,0.000160,11.904000
DEU,DEU-IP-0001-0001,1488,0.010000,14.880000,0.008700,12.945600
DEU,DEU-SD-0001-0001,126331,0.000190,24.002890,0.000160,20.212960
DEU,DEU-VM-0001-0001,744,0.098200,73.060800,0.083500,62.124000
Total,-,-,126.07969,-,107.18656
