HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-DK-0001-0001,29760,0.000190,5.654400,0.000160,4.761600
DEU,DEU-SD-0001-0001,14880,0.000190,2.827200,0.000160,2.380800
Total,-,-,8.4816,-,7.1424
