HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-SD-0001-0001,22320,0.000190,4.240800,0.000160,3.571200
Total,-,-,4.2408,-,3.5712
