HostRegion,Product ID,Unit,EUR List Price(per unit),EUR List Price,EUR Transfer Price(per unit),EUR Transfer Price
DEU,DEU-VM-0001-0002,663,0.973000,645.099000,0.167700,111.185100
DEU,DEU-DK-0001-0001,66300,0.000190,12.597000,0.000160,10.608000
DEU,DEU-IP-0001-0001,663,0.010000,6.630000,0.008700,5.768100
DEU,DEU-SD-0001-0001,26520,0.000190,5.038800,0.000160,4.243200
Total,-,-,669.3648,-,131.8044
