Dom0,FW,SLB,Economy,Standard,Advanced,High-Perfomance,Total(Eco. Equi),Total
jp-01-1-ps0000-04-13,1,1,2,0,,,5,4
jp-01-1-ps0000-04-11,0,,8,,,,8,8
jp-01-1-ps0000-04-14,2,1,2,0,,,6,5
