HostRegion,Product ID,Unit,GBP List Price(per unit),GBP List Price,JPY Transfer Price(per unit),JPY Transfer Price
UKI,UKI-DK-0002-0001,22320,0.000160,3.571200,0.000000,0.000000
UKI,UKI-IP-0001-0001,2232,0.008000,17.856000,0.000000,0.000000
UKI,UKI-SD-0001-0001,133920,0.000160,21.427200,0.000000,0.000000
UKI,UKI-DK-0001-0001,208320,0.000160,33.331200,0.000000,0.000000
Total,-,-,76.1856,-,0
