HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,JPY Transfer Price(per unit),JPY Transfer Price
SIN,SIN-VM-0001-0002,744,0.306500,228.036000,0.000000,0.000000
SIN,SIN-NW-0001-0001,8,0.015900,0.127200,0.000000,0.000000
SIN,SIN-IP-0001-0001,744,0.015900,11.829600,0.000000,0.000000
SIN,SIN-DK-0001-0001,52080,0.000300,15.624000,0.000000,0.000000
SIN,SIN-SD-0001-0001,29760,0.000300,8.928000,0.000000,0.000000
Total,-,-,264.5448,-,0
