HostRegion,Product ID,Unit,SGD List Price(per unit),SGD List Price,JPY Transfer Price(per unit),JPY Transfer Price
SIN,SIN-VM-0001-0004,793,1.226100,972.297300,0.000000,0.000000
SIN,SIN-DK-0002-0001,14880,0.000300,4.464000,0.000000,0.000000
SIN,SIN-NW-0001-0001,4,0.015900,0.063600,0.000000,0.000000
SIN,SIN-IP-0001-0001,744,0.015900,11.829600,0.000000,0.000000
SIN,SIN-SD-0001-0001,37200,0.000300,11.160000,0.000000,0.000000
SIN,SIN-VM-0001-0001,744,0.153300,114.055200,0.000000,0.000000
SIN,SIN-NW-0002-0001,744,0.033700,25.072800,0.000000,0.000000
SIN,SIN-DK-0003-0001,14880,0.000300,4.464000,0.000000,0.000000
Total,-,-,1143.4065,-,0
