ORG ID,VSYS ID,FW(RUN),FW(STOP),SLB(RUN),SLB(STOP),Eco(RUN),Eco(STOP),Std(RUN),Std(STOP),Adv(RUN),Adv(STOP),High(RUN),High(STOP),Total(RUN),Total(STOP),Total)
Y7R8RCX2,Y7R8RCX2-IZIG34O5G,0,0,0,1,0,0,0,0,0,0,1,0,1,1,2
Y7R8RCX2,Y7R8RCX2-M2BGII535,1,0,0,0,3,0,0,0,0,0,0,0,4,0,4
Y7R8RCX2,Total,1,0,0,1,3,0,0,0,0,0,1,0,5,1,6
L6WSO2JB,L6WSO2JB-ZFYP9EIVN,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
L6WSO2JB,L6WSO2JB-S8RGJQCJV,0,0,1,0,3,0,0,0,0,0,0,0,4,0,4
L6WSO2JB,L6WSO2JB-DTC76HRLK,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1
L6WSO2JB,Total,2,0,1,0,3,0,0,0,0,0,0,0,6,0,6
MYE9STFT,MYE9STFT-Q7VSZXVNS,0,1,0,0,0,1,0,0,0,0,0,0,0,2,2
MYE9STFT,MYE9STFT-BSF3CO77G,0,0,0,0,1,0,1,0,0,0,0,0,2,0,2
MYE9STFT,MYE9STFT-S9WJQZDWK,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
MYE9STFT,MYE9STFT-GXLHDXAWO,0,0,1,0,2,0,0,0,0,0,0,0,3,0,3
MYE9STFT,MYE9STFT-XE1RIH1NE,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1
MYE9STFT,MYE9STFT-R8WSI32LO,1,0,0,0,1,0,0,0,0,0,0,0,2,0,2
MYE9STFT,MYE9STFT-6NAX20G7H,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
MYE9STFT,MYE9STFT-XE1PX5TU2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1
MYE9STFT,MYE9STFT-1I5VMJWZV,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
MYE9STFT,Total,1,1,1,0,4,1,2,1,1,1,1,0,10,4,14
EDI3I2J5,EDI3I2J5-EVEYR34US,0,1,1,1,0,0,0,0,0,0,0,0,1,2,3
EDI3I2J5,EDI3I2J5-8O7SVXM30,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
EDI3I2J5,Total,0,1,1,1,2,0,0,0,0,0,0,0,3,2,5
9X3IOOUO,9X3IOOUO-S9WRYOGJL,0,0,0,0,8,1,0,0,0,0,0,0,8,1,9
9X3IOOUO,Total,0,0,0,0,8,1,0,0,0,0,0,0,8,1,9
0BCCQKBX,0BCCQKBX-Q7UOL0K2B,0,0,1,0,4,0,0,0,0,0,0,0,5,0,5
0BCCQKBX,0BCCQKBX-XE20BZ0OC,0,0,0,1,4,2,0,0,0,0,0,0,4,3,7
0BCCQKBX,0BCCQKBX-3K71YBOT3,0,0,1,0,5,0,0,0,0,0,0,0,6,0,6
0BCCQKBX,0BCCQKBX-DUH615Z5R,0,0,0,0,2,1,0,0,0,0,0,0,2,1,3
0BCCQKBX,Total,0,0,2,1,15,3,0,0,0,0,0,0,17,4,21
VFJPX0I6,VFJPX0I6-FWIMFVZAU,0,0,1,0,2,1,0,0,0,0,0,0,3,1,4
VFJPX0I6,VFJPX0I6-5M8QLCKIW,0,0,0,0,1,5,0,0,0,0,0,0,1,5,6
VFJPX0I6,VFJPX0I6-IZLOCSI0R,0,1,0,0,3,2,0,0,0,0,0,0,3,3,6
VFJPX0I6,Total,0,1,1,0,6,8,0,0,0,0,0,0,7,9,16
5MGC9FC8,5MGC9FC8-5M5E5EP94,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3
5MGC9FC8,5MGC9FC8-ARE33ZKAS,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
5MGC9FC8,Total,0,0,0,0,2,0,3,0,0,0,0,0,5,0,5
KDAUT0Z8,KDAUT0Z8-2J6TK1ESR,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1
KDAUT0Z8,KDAUT0Z8-8PCYY2LES,0,1,0,0,1,1,0,0,0,0,0,0,1,2,3
KDAUT0Z8,KDAUT0Z8-K1OB3MS3U,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
KDAUT0Z8,KDAUT0Z8-N4REE24XY,0,0,0,1,0,3,0,0,0,0,0,0,0,4,4
KDAUT0Z8,KDAUT0Z8-9QDHBZW1L,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
KDAUT0Z8,KDAUT0Z8-6NAXO4N4G,0,1,0,0,1,0,0,0,0,0,0,0,1,1,2
KDAUT0Z8,Total,0,2,0,1,5,4,0,0,0,0,1,0,6,7,13
0BPVC05Z,0BPVC05Z-YF301BSFL,0,0,1,0,2,0,1,0,0,0,0,0,4,0,4
0BPVC05Z,Total,0,0,1,0,2,0,1,0,0,0,0,0,4,0,4
0L4SIRAR,0L4SIRAR-HYH0SKWY6,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
0L4SIRAR,Total,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
MFIMHMMW,MFIMHMMW-K1PN2ZI3Q,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
MFIMHMMW,Total,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
BHB1JNRX,BHB1JNRX-R7Q0XKBUR,0,0,1,0,2,0,0,0,0,0,0,0,3,0,3
BHB1JNRX,BHB1JNRX-4L6ZQ9PB9,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
BHB1JNRX,Total,0,0,1,0,4,0,0,0,0,0,0,0,5,0,5
UD028MNB,UD028MNB-J0NC48SWK,0,0,0,1,3,3,1,0,1,0,1,0,6,4,10
UD028MNB,Total,0,0,0,1,3,3,1,0,1,0,1,0,6,4,10
EVXKH7EF,EVXKH7EF-UBUD0SW13,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
EVXKH7EF,Total,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
ZYW25RVY,ZYW25RVY-CTHFHNTVT,0,0,1,0,1,0,1,0,1,0,1,0,5,0,5
ZYW25RVY,Total,0,0,1,0,1,0,1,0,1,0,1,0,5,0,5
8TNNPM4T,8TNNPM4T-BRAQDQ91D,0,0,1,0,1,0,1,0,0,0,0,0,3,0,3
8TNNPM4T,Total,0,0,1,0,1,0,1,0,0,0,0,0,3,0,3
BDTRGI7H,BDTRGI7H-1I5T60O95,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5
BDTRGI7H,Total,0,0,0,0,5,0,0,0,0,0,0,0,5,0,5
QINK2KO2,QINK2KO2-0H4V7E5WO,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
QINK2KO2,QINK2KO2-CTG7J5ZHF,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2
QINK2KO2,Total,0,0,0,0,4,0,0,0,0,0,0,0,4,0,4
GWR0Y8JD,GWR0Y8JD-N3C6X47LF,0,1,1,0,0,0,0,0,0,0,0,0,1,1,2
GWR0Y8JD,GWR0Y8JD-BR278ZD7O,1,0,1,0,1,0,0,0,0,0,0,0,3,0,3
GWR0Y8JD,Total,1,1,2,0,1,0,0,0,0,0,0,0,4,1,5
