Dom0,FW,SLB,Economy,Standard,Advanced,High-Perfomance,Total(Eco. Equi),Total
jp-01-1-ps0000-04-13,1,2,2,0,,,7,5
jp-01-1-ps0000-04-12,0,,3,,,,3,3
jp-01-1-ps0000-04-14,2,1,3,0,,,7,6
