Dom0,FW,SLB,Economy,Standard,Advanced,High-Perfomance,Total(Eco. Equi),Total
jp-01-1-ps0000-08-09,0,,2,7,,,16,9
jp-01-1-ps0000-08-11,0,,,3,2,,14,5
