System Name,SubTotal(JPY)
de01_IJConnector,145476
CCT-Dev1-DEU,2146
Staging_PrintService_IJ,539664
de02_PrintService_IJ,539035
Production-TM-MISC-SYSTEM-DE,25963
Production_PrintService_IJ,830913
de01_PrintService_IJ,554261
de02_IJConnector,128606
Production-Performance,26759
TM-MISC-SYSTEM-DE,27316
tm-log-system-de,48317
Staging_IJConnector,143979
Production_IJConnector,216875
tm-turin-system-DE,27918
VM Image Storage Service,0
GWAN Connection Service 10Mbps,725038
