System Name,SubTotal(JPY)
MPGW_Production_System,874342
SSECMS-Ev2-System,3835
SSEMGR-Production-System,322525
SSECMS-Ev1-System,422615
SSE-Production-System,3067114
SSE-Ev2-System,1157767
SSE-Test-System,65104
SSEMGR-Ev1-System,121328
SSE-Dv1-System,1695878
MPGW_Staging_System,880293
MPGW_Operation_Production_System,212620
SSE-Staging-System,2997258
SSE-Ev1-System,1107061
SSECMS-Production-System,580195
SSEMGR-Staging-System,605358
MPGW_QA1_System,446070
MPGW_Operation_Staging_System,135597
MPGW_Dev3_System,452769
VM Image Storage Service,27957
GWAN Connection Service 5Mbps,571634
