System Name,SubTotal(JPY)
de01_IJConnector,133945
CAMS-Dev2-System-DE,768
CAMS-Dev1-System-DE,67478
Print_Prototype,64620
CCT-Dev1-DEU,1864
Staging_PrintService_IJ,1051889
de02_PrintService_IJ,461841
Production-TM-MISC-SYSTEM-DE,23831
Production_PrintService_IJ,809135
de01_PrintService_IJ,527439
de02_IJConnector,124406
Production-Performance,23360
TM-MISC-SYSTEM-DE,27802
tm-log-system-de,42088
Staging_IJConnector,123031
Production_IJConnector,195765
tm-turin-system-DE,24208
VM Image Storage Service,0
GWAN Connection Service 10Mbps,711047
