System Name,SubTotal(JPY)
MPGW_Production_System,755951
SSEMGR-Production-System,244468
SSECMS-Ev1-System,364840
SSE-Production-System,2325507
SSE-Test-System,1081
SSEMGR-Ev1-System,62771
SSE-Dv1-System,1161624
MPGW_Staging_System,771216
MPGW_Operation_Production_System,185693
SSE-Staging-System,2892592
SSE-Ev1-System,945107
SSECMS-Production-System,442107
SSEMGR-Staging-System,285512
MPGW_QA1_System,387536
MPGW_Operation_Staging_System,118502
MPGW_Dev3_System,393292
VM Image Storage Service,19997
GWAN Connection Service 5Mbps,563180
