Dom0,FW,SLB,Economy,Standard,Advanced,High-Perfomance,Total(Eco. Equi),Total
jp-01-1-ps0000-04-13,1,1,1,0,,,4,3
jp-01-1-ps0000-04-11,0,,8,,,,8,8
jp-01-1-ps0000-04-14,1,1,0,,,,3,2
