Total,11313152,11313152,islanda-cbrm
Free,62720,54784,islanda-cbrm
Zero,0,0,islanda-cbrm
Total,6704128,6704128,islandb-cbrm
Free,1726464,1700864,islandb-cbrm
Zero,124928,161280,islandb-cbrm
