Dom0,FW,SLB,Economy,Standard,Advanced,High-Perfomance,Total(Eco. Equi),Total
jp-01-1-ps0000-04-16,0,,,,1,,4,1
jp-01-1-ps0000-04-15,0,1,3,5,,1,23,10
jp-01-1-ps0000-04-17,1,1,9,4,0,,20,15
