Dom0,FW,SLB,Economy,Standard,Advanced,High-Perfomance,Total(Eco. Equi),Total
jp-01-1-ps0006-01-08,0,,,,,2,16,2
jp-01-1-ps0006-01-05,0,,1,,,,1,1
jp-01-1-ps0006-03-25,0,,2,,,,2,2
jp-01-1-ps0006-01-28,0,,1,,,,1,1
jp-01-1-ps0006-01-10,0,,1,,,,1,1
jp-01-1-ps0006-01-06,0,,,1,,,2,1
