HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0002-0001,7440,0.000235,1.748400,0.000200,1.488000
AUS,AUS-SD-0001-0001,37200,0.000235,8.742000,0.000200,7.440000
AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
Total,-,-,19.8648,-,16.8888
