HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0002-0001,14880,0.000235,3.496800,0.000200,2.976000
Total,-,-,3.4968,-,2.976
