HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-SD-0001-0001,29760,0.000235,6.993600,0.000200,5.952000
AUS,AUS-DK-0001-0001,44640,0.000235,10.490400,0.000200,8.928000
AUS,AUS-IP-0001-0001,744,0.012600,9.374400,0.010700,7.960800
Total,-,-,26.8584,-,22.8408
