HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-SD-0001-0001,7291,0.000235,1.713385,0.000200,1.458200
Total,-,-,1.713385,-,1.4582
