HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-SD-0001-0001,178560,0.000235,41.961600,0.000200,35.712000
AUS,AUS-IP-0001-0001,2232,0.012600,28.123200,0.010700,23.882400
AUS,AUS-DK-0001-0001,372000,0.000235,87.420000,0.000200,74.400000
AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
AUS,AUS-VM-0001-0002,744,0.243976,181.518144,0.207400,154.305600
AUS,AUS-VM-0001-0001,2221,0.121416,269.664936,0.103200,229.207200
Total,-,-,608.68788,-,517.5072
