HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-DK-0001-0001,372000,0.000235,87.420000,0.000200,74.400000
AUS,AUS-SD-0001-0001,148800,0.000235,34.968000,0.000200,29.760000
AUS,AUS-NW-0001-0001,0,0.012600,0.000000,0.010700,0.000000
AUS,AUS-VM-0001-0002,29,0.243976,7.075304,0.207400,6.014600
AUS,AUS-IP-0001-0001,1488,0.012600,18.748800,0.010700,15.921600
Total,-,-,148.212104,-,126.0962
