HostRegion,Product ID,Unit,AUD List Price(per unit),AUD List Price,AUD Transfer Price(per unit),AUD Transfer Price
AUS,AUS-VM-0001-0003,6237,0.486808,3036.221496,0.413800,2580.870600
AUS,AUS-SD-0001-0001,1132400,0.000235,266.114000,0.000200,226.480000
AUS,AUS-VM-0001-0004,5952,0.973615,5794.956480,0.827600,4925.875200
AUS,AUS-DK-0001-0001,3190100,0.000235,749.673500,0.000200,638.020000
AUS,AUS-VM-0001-0011,2232,1.947230,4346.217360,1.655100,3694.183200
AUS,AUS-VM-0001-0002,4475,0.243976,1091.792600,0.207400,928.115000
AUS,AUS-VM-0001-0001,2232,0.121416,271.000512,0.103200,230.342400
Total,-,-,15555.975948,-,13223.8864
